Player Name,Year,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Mike Trout,All Levels (16 Seasons),,,,1834,8084,6744,1379,2058,374,89,402,1093,323,67,1140,1732,.305,.411,.566,.977,3816,80,119,16,65,124,,,
Mike Trout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Trout,AAA (2 seasons),,Minors,,21,94,78,21,31,4,5,1,13,6,1,11,17,.397,.462,.615,1.078,48,1,1,1,3,0,,,
Mike Trout,AA (1 season),,Minors,,91,412,353,82,115,18,13,11,38,33,10,45,76,.326,.414,.544,.958,192,2,9,4,1,1,,,
Mike Trout,A+ (2 seasons),,Minors,,54,246,205,35,62,10,3,4,19,11,6,31,35,.302,.394,.439,.833,90,3,2,5,3,1,,,
Mike Trout,A (2 seasons),,Minors,,86,388,327,77,117,19,7,6,39,45,9,50,58,.358,.452,.514,.966,168,1,7,3,1,2,,,
Mike Trout,Rk (1 season),,Minors,,39,187,164,29,59,7,7,1,25,13,2,18,28,.360,.419,.506,.925,83,2,0,3,2,0,,,
Francisco Lindor,2011,17,-4.1,Mahoning Valley,NYPL,A-,CLE,5,20,19,4,6,0,0,0,2,1,0,1,5,.316,.350,.316,.666,6,0,0,0,0,0
Francisco Lindor,2012,18,-3.6,Lake County,MIDW,A,CLE,122,567,490,83,126,24,3,6,42,27,12,61,78,.257,.352,.355,.707,174,19,11,4,1,8
Francisco Lindor,2013,19,,2 Teams,2 Lgs,A+-AA,CLE,104,464,403,65,122,22,7,2,34,25,7,49,46,.303,.380,.407,.787,164,8,3,6,3,0
Francisco Lindor,2013,19,-5.4,Akron,EL,AA,CLE,21,91,76,14,22,3,1,1,7,5,2,14,7,.290,.407,.395,.801,30,1,1,0,0,0
Francisco Lindor,2013,19,-3.8,Carolina,CARL,A+,CLE,83,373,327,51,100,19,6,1,27,20,5,35,39,.306,.373,.410,.783,134,7,2,6,3,0
Francisco Lindor,2014,20,,2 Teams,2 Lgs,AA-AAA,CLE,126,567,507,75,140,16,4,11,62,28,16,49,97,.276,.338,.389,.727,197,14,1,5,5,1
Francisco Lindor,2014,20,-6.9,Columbus,IL,AAA,CLE,38,180,165,24,45,4,0,5,14,3,7,9,36,.273,.307,.388,.695,64,3,0,4,2,1
Francisco Lindor,2014,20,-4.7,Akron,EL,AA,CLE,88,387,342,51,95,12,4,6,48,25,9,40,61,.278,.352,.389,.741,133,11,1,1,3,0
Francisco Lindor,2014,20,-2.3,Peoria,AZFL,Fal,,24,108,98,15,26,5,1,3,9,2,5,8,13,.265,.324,.429,.753,42,2,1,0,1,0
Francisco Lindor,2015,21,-5.8,Columbus,IL,AAA,CLE,59,262,229,26,65,11,5,2,22,9,7,25,38,.284,.350,.402,.752,92,1,0,5,3,0
Francisco Lindor,2015,21,-7.5,CLE,AL,Maj,CLE,99,438,390,50,122,22,4,12,51,12,2,27,69,.313,.353,.482,.835,188,12,1,13,7,0
Francisco Lindor,2016,22,-6.7,CLE,AL,Maj,CLE,158,684,604,99,182,30,3,15,78,19,5,57,88,.301,.358,.435,.794,263,18,5,3,15,3
Francisco Lindor,2017,23,-5.6,CLE,AL,Maj,CLE,159,723,651,99,178,44,4,33,89,15,3,60,93,.273,.337,.505,.842,329,11,4,5,3,6
Francisco Lindor,2018,24,-4.2,CLE,AL,Maj,CLE,158,745,661,129,183,42,2,38,92,25,10,70,107,.277,.352,.519,.871,343,5,8,3,3,7
Francisco Lindor,2019,25,-1.9,Columbus,IL,AAA,CLE,3,13,12,4,5,1,0,2,2,0,0,1,1,.417,.462,1.000,1.462,12,0,0,0,0,1
Francisco Lindor,2019,25,-2.8,CLE,AL,Maj,CLE,143,654,598,101,170,40,2,32,74,22,5,46,98,.284,.335,.518,.854,310,13,3,1,6,9
Francisco Lindor,2020,26,-1.7,CLE,AL,Maj,CLE,60,266,236,30,61,13,0,8,27,6,2,24,41,.259,.335,.415,.750,98,8,4,0,2,2
Francisco Lindor,2021,27,-1.7,NYM,NL,Maj,NYM,125,524,452,73,104,16,3,20,63,10,4,58,96,.230,.322,.412,.734,186,7,5,6,3,4
Francisco Lindor,2022,28,-0.6,NYM,NL,Maj,NYM,161,706,630,98,170,25,5,26,107,16,6,59,133,.270,.339,.449,.788,283,11,10,0,7,2
Francisco Lindor,2023,29,0.7,NYM,NL,Maj,NYM,160,687,602,108,153,33,2,31,98,31,4,66,137,.254,.336,.470,.806,283,8,12,0,7,1
Francisco Lindor,2024,30,1.7,NYM,NL,Maj,NYM,152,689,618,107,169,39,1,33,91,29,4,56,127,.274,.344,.500,.844,309,7,12,0,3,0
Francisco Lindor,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Francisco Lindor,Majors (10 seasons),,Majors,,1375,6116,5442,894,1492,304,26,248,770,185,45,523,989,.274,.342,.476,.818,2592,100,64,31,56,34,,,
Francisco Lindor,Minors (6 seasons),,Minors,,419,1893,1660,257,464,74,19,23,164,90,42,186,265,.280,.355,.389,.744,645,42,15,20,12,10,,,
Francisco Lindor,Other (1 season),,Other,,24,108,98,15,26,5,1,3,9,2,5,8,13,.265,.324,.429,.753,42,2,1,0,1,0,,,
Francisco Lindor,All Levels (14 Seasons),,,,1818,8117,7200,1166,1982,383,46,274,943,277,92,717,1267,.275,.345,.455,.800,3279,144,80,51,69,44,,,
Francisco Lindor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Lindor,AAA (3 seasons),,Minors,,100,455,406,54,115,16,5,9,38,12,14,35,75,.283,.336,.414,.750,168,4,0,9,5,2,,,
Francisco Lindor,AA (2 seasons),,Minors,,109,478,418,65,117,15,5,7,55,30,11,54,68,.280,.363,.390,.753,163,12,2,1,3,0,,,
Francisco Lindor,A+ (1 season),,Minors,,83,373,327,51,100,19,6,1,27,20,5,35,39,.306,.373,.410,.783,134,7,2,6,3,0,,,
Francisco Lindor,A (1 season),,Minors,,122,567,490,83,126,24,3,6,42,27,12,61,78,.257,.352,.355,.707,174,19,11,4,1,8,,,
Francisco Lindor,A- (1 season),,Minors,,5,20,19,4,6,0,0,0,2,1,0,1,5,.316,.350,.316,.666,6,0,0,0,0,0,,,
